"pkg","ver","src","desc"
"A3","0.9.1","Archive/A3/A3_0.9.1.tar.gz","A3_0.9.1.dcf"
"A3","0.9.2","A3_0.9.2.tar.gz","A3_0.9.2.dcf"
"aaMI","1.0-0","Archive/aaMI/aaMI_1.0-0.tar.gz","aaMI_1.0-0.dcf"
"aaMI","1.0-1","Archive/aaMI/aaMI_1.0-1.tar.gz","aaMI_1.0-1.dcf"
"abc","1.0","Archive/abc/abc_1.0.tar.gz","abc_1.0.dcf"
"abc","1.1","Archive/abc/abc_1.1.tar.gz","abc_1.1.dcf"
"abc","1.2","Archive/abc/abc_1.2.tar.gz","abc_1.2.dcf"
"abc","1.3","Archive/abc/abc_1.3.tar.gz","abc_1.3.dcf"
"abc","1.4","Archive/abc/abc_1.4.tar.gz","abc_1.4.dcf"
"abc","1.5","Archive/abc/abc_1.5.tar.gz","abc_1.5.dcf"
"abc","1.6","Archive/abc/abc_1.6.tar.gz","abc_1.6.dcf"
"abc","1.7","Archive/abc/abc_1.7.tar.gz","abc_1.7.dcf"
"abc","1.8","abc_1.8.tar.gz","abc_1.8.dcf"
"abcdeFBA","0.1","Archive/abcdeFBA/abcdeFBA_0.1.tar.gz","abcdeFBA_0.1.dcf"
"abcdeFBA","0.2","Archive/abcdeFBA/abcdeFBA_0.2.tar.gz","abcdeFBA_0.2.dcf"
"abcdeFBA","0.3","Archive/abcdeFBA/abcdeFBA_0.3.tar.gz","abcdeFBA_0.3.dcf"
"abcdeFBA","0.4","abcdeFBA_0.4.tar.gz","abcdeFBA_0.4.dcf"
"ABCExtremes","1.0","ABCExtremes_1.0.tar.gz","ABCExtremes_1.0.dcf"
"ABCoptim","0.13.10","Archive/ABCoptim/ABCoptim_0.13.10.tar.gz","ABCoptim_0.13.10.dcf"
"ABCoptim","0.13.11","ABCoptim_0.13.11.tar.gz","ABCoptim_0.13.11.dcf"
"ABCp2","1.0","Archive/ABCp2/ABCp2_1.0.tar.gz","ABCp2_1.0.dcf"
"ABCp2","1.1","ABCp2_1.1.tar.gz","ABCp2_1.1.dcf"
"abctools","0.1-2","Archive/abctools/abctools_0.1-2.tar.gz","abctools_0.1-2.dcf"
"abctools","0.2","Archive/abctools/abctools_0.2.tar.gz","abctools_0.2.dcf"
"abctools","0.2-2","abctools_0.2-2.tar.gz","abctools_0.2-2.dcf"
"abd","0.1-12","Archive/abd/abd_0.1-12.tar.gz","abd_0.1-12.dcf"
"abd","0.1-18","Archive/abd/abd_0.1-18.tar.gz","abd_0.1-18.dcf"
"abd","0.1-21","Archive/abd/abd_0.1-21.tar.gz","abd_0.1-21.dcf"
"abd","0.1-22","Archive/abd/abd_0.1-22.tar.gz","abd_0.1-22.dcf"
"abd","0.2-2","Archive/abd/abd_0.2-2.tar.gz","abd_0.2-2.dcf"
"abd","0.2-4","Archive/abd/abd_0.2-4.tar.gz","abd_0.2-4.dcf"
"abd","0.2-5","abd_0.2-5.tar.gz","abd_0.2-5.dcf"
"abf2","0.7-0","abf2_0.7-0.tar.gz","abf2_0.7-0.dcf"
"abind","1.0-1","Archive/abind/abind_1.0-1.tar.gz","abind_1.0-1.dcf"
"abind","1.0","Archive/abind/abind_1.0.tar.gz","abind_1.0.dcf"
"abind","1.1-0","Archive/abind/abind_1.1-0.tar.gz","abind_1.1-0.dcf"
"abind","1.3-0","Archive/abind/abind_1.3-0.tar.gz","abind_1.3-0.dcf"
"abind","1.4-0","abind_1.4-0.tar.gz","abind_1.4-0.dcf"
